Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S3_Warp_Fade,E,NORMAL,R_eff_R_vb,1.498145,1.324668,1.255430,1.804100
S3_Warp_Fade,E,NORMAL,K_delay,0.316165,0.282379,0.234322,0.432009
S3_Warp_Fade,E,NORMAL,Q11,0.086340,0.048932,0.020896,0.207093
S3_Warp_Fade,E,NORMAL,Q22,0.004943,0.000722,0.000102,0.017679
S3_Warp_Fade,E,NORMAL,tracking_error,-2.319109,-2.341648,-2.620910,-2.056622
S3_Warp_Fade,E,PRE,m_reliability,0.850392,0.868665,0.842639,0.891852
S3_Warp_Fade,E,PRE,Lambda,1.430353,1.316845,1.250920,1.397182
S3_Warp_Fade,E,PRE,R_vb,1.436338,1.369005,0.988948,2.003153
S3_Warp_Fade,E,PRE,R_eff,2.081830,1.835374,1.323181,2.824708
S3_Warp_Fade,E,PRE,R_eff_R_vb,1.430353,1.316845,1.250920,1.397182
S3_Warp_Fade,E,PRE,K_delay,0.411941,0.405245,0.351603,0.478031
S3_Warp_Fade,E,PRE,Q11,0.169577,0.162587,0.088527,0.262260
S3_Warp_Fade,E,PRE,Q22,0.012513,0.008691,0.002593,0.028468
S3_Warp_Fade,E,PRE,tracking_error,-2.340470,-2.420031,-2.727438,-2.045299
S3_Warp_Fade,E,FADE,m_reliability,0.691527,0.721765,0.512350,0.822136
S3_Warp_Fade,E,FADE,Lambda,2.243799,1.885595,1.465713,3.610614
S3_Warp_Fade,E,FADE,R_vb,0.896889,0.899003,0.822840,0.966659
S3_Warp_Fade,E,FADE,R_eff,2.012298,1.681161,1.268225,3.144871
S3_Warp_Fade,E,FADE,R_eff_R_vb,2.243799,1.885595,1.465713,3.610614
S3_Warp_Fade,E,FADE,K_delay,0.275017,0.291027,0.199923,0.328284
S3_Warp_Fade,E,FADE,Q11,0.061980,0.060546,0.042244,0.085969
S3_Warp_Fade,E,FADE,Q22,0.001210,0.001102,0.000683,0.001848
S3_Warp_Fade,E,FADE,tracking_error,-2.309784,-2.308122,-2.612336,-2.048568
S3_Warp_Fade,E,POST,m_reliability,0.868330,0.869763,0.846574,0.892328
S3_Warp_Fade,E,POST,Lambda,1.319332,1.313607,1.249620,1.384577
S3_Warp_Fade,E,POST,R_vb,0.569835,0.544903,0.410183,0.774817
S3_Warp_Fade,E,POST,R_eff,0.753132,0.711872,0.538776,1.039153
S3_Warp_Fade,E,POST,R_eff_R_vb,1.319332,1.313607,1.249620,1.384577
S3_Warp_Fade,E,POST,K_delay,0.254626,0.252541,0.231572,0.282819
S3_Warp_Fade,E,POST,Q11,0.029320,0.028018,0.018573,0.041847
S3_Warp_Fade,E,POST,Q22,0.000227,0.000177,0.000083,0.000465
S3_Warp_Fade,E,POST,tracking_error,-2.305430,-2.314204,-2.534632,-2.071530
S3_Warp_Fade,E-VB-only,NORMAL,m_reliability,0.823579,0.855721,0.738298,0.878074
S3_Warp_Fade,E-VB-only,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,NORMAL,R_vb,0.127177,0.126372,0.117581,0.137852
S3_Warp_Fade,E-VB-only,NORMAL,R_eff,0.127177,0.126372,0.117581,0.137852
S3_Warp_Fade,E-VB-only,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,NORMAL,K_delay,0.931248,0.936039,0.901359,0.954330
S3_Warp_Fade,E-VB-only,NORMAL,Q11,1.395036,1.345622,0.715663,2.091996
S3_Warp_Fade,E-VB-only,NORMAL,Q22,0.073744,0.054652,0.022003,0.166221
S3_Warp_Fade,E-VB-only,NORMAL,tracking_error,-0.413803,-0.412452,-1.236574,0.407423
S3_Warp_Fade,E-VB-only,PRE,m_reliability,0.838202,0.857185,0.776429,0.882050
S3_Warp_Fade,E-VB-only,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,PRE,R_vb,0.127968,0.127742,0.118247,0.137992
