ProfileID,Trial,SymbolIdx,Phase,m_k,z_k,epsilon_true_k,e_meas_k
P1,2,89,POST,0.973958782737375,-14.4047303278175,-12.8545857991194,-0.554643503323978
P1,2,90,POST,0.952583267485713,-14.6621863428995,-13.0152442704246,-0.651441047100828
P1,2,91,POST,0.97217917368293,-13.7039518089267,-13.1766693784119,0.468218594859273
P1,2,92,POST,0.981532092084569,-15.3040799409304,-13.3388587655219,-0.969720150034338
P1,2,93,POST,0.981532092084569,-14.4691592405526,-13.5018100561588,0.0281518409802999
P1,2,94,POST,0.995756151440893,-14.9641594058474,-13.6655208565468,-0.303137523926436
P1,2,95,POST,0.982757811920755,-15.1247362203722,-13.8299887549778,-0.299246440020267
P1,2,96,POST,0.963967344774554,-15.6531697907544,-13.9952113217525,-0.662457443627734
P1,2,97,POST,0.976717154220705,-14.5642319798191,-14.1611861093063,0.592455154861339
P1,2,98,POST,0.974756282804367,-16.4917468185807,-14.3279106522298,-1.16833514097673
P1,2,99,POST,0.973227767086293,-15.5187317149301,-14.4953824672669,-0.0278482222890943
P1,2,100,POST,0.993270916397394,-15.592396402596,-14.6635990535566,0.0667036763347895
P1,2,101,POST,0.980054509738729,-16.1167550534753,-14.8325578925323,-0.288696135568809
P1,2,102,POST,0.963922085595184,-16.5932169812503,-15.0022564479961,-0.595459507880054
P1,2,103,POST,0.978455256477722,-15.4365213151185,-15.1726921662441,0.7316718764997
P1,2,104,POST,0.97579572695143,-17.2990372715763,-15.3438624760742,-0.959673770127946
P1,2,105,POST,0.97579572695143,-16.5684145741778,-15.5157647888906,-0.0571487599130798
P1,2,106,POST,0.990590747564575,-16.8776288659819,-15.6883964987298,-0.193731341878035
P1,2,107,POST,0.974542726478669,-17.0488820617025,-15.8617549822875,-0.191626054040896
P1,2,108,POST,0.955683864463317,-17.9281742451576,-16.0358375990999,-0.896835620683621
